Date,$FutureFlag,SO2,$TS-SO2
2021-07-15,1,,249.595735
2021-07-16,1,,251.179163
2021-07-17,1,,255.721259
2021-07-18,1,,244.232161
2021-07-19,1,,243.78678
2021-07-20,1,,253.164593
2021-07-21,1,,247.559048
2021-07-22,1,,249.595735
2021-07-23,1,,251.179163
2021-07-24,1,,255.721259
2021-07-25,1,,244.232161
2021-07-26,1,,243.78678
2021-07-27,1,,253.164593
2021-07-28,1,,247.559048
2021-07-29,1,,249.595735
2021-07-30,1,,251.179163
2021-07-31,1,,255.721259
2021-08-01,1,,244.232161
2021-08-02,1,,243.78678
2021-08-03,1,,253.164593
2021-08-04,1,,247.559048
2021-08-05,1,,249.595735
2021-08-06,1,,251.179163
2021-08-07,1,,255.721259
2021-08-08,1,,244.232161
2021-08-09,1,,243.78678
2021-08-10,1,,253.164593
2021-08-11,1,,247.559048
2021-08-12,1,,249.595735
2021-08-13,1,,251.179163
2021-08-14,1,,255.721259
2021-08-15,1,,244.232161
2021-08-16,1,,243.78678
2021-08-17,1,,253.164593
2021-08-18,1,,247.559048
2021-08-19,1,,249.595735
2021-08-20,1,,251.179163
2021-08-21,1,,255.721259
2021-08-22,1,,244.232161
2021-08-23,1,,243.78678
2021-08-24,1,,253.164593
2021-08-25,1,,247.559048
2021-08-26,1,,249.595735
2021-08-27,1,,251.179163
2021-08-28,1,,255.721259
2021-08-29,1,,244.232161
2021-08-30,1,,243.78678
2021-08-31,1,,253.164593
2021-09-01,1,,247.559048
2021-09-02,1,,249.595735
2021-09-03,1,,251.179163
2021-09-04,1,,255.721259
2021-09-05,1,,244.232161
2021-09-06,1,,243.78678
2021-09-07,1,,253.164593
2021-09-08,1,,247.559048
2021-09-09,1,,249.595735
2021-09-10,1,,251.179163
2021-09-11,1,,255.721259
2021-09-12,1,,244.232161
2021-09-13,1,,243.78678
2021-09-14,1,,253.164593
2021-09-15,1,,247.559048
2021-09-16,1,,249.595735
2021-09-17,1,,251.179163
2021-09-18,1,,255.721259
2021-09-19,1,,244.232161
2021-09-20,1,,243.78678
2021-09-21,1,,253.164593
2021-09-22,1,,247.559048
2021-09-23,1,,249.595735
2021-09-24,1,,251.179163
2021-09-25,1,,255.721259
2021-09-26,1,,244.232161
2021-09-27,1,,243.78678
2021-09-28,1,,253.164593
2021-09-29,1,,247.559048
2021-09-30,1,,249.595735
2021-10-01,1,,251.179163
2021-10-02,1,,255.721259
2021-10-03,1,,244.232161
2021-10-04,1,,243.78678
2021-10-05,1,,253.164593
2021-10-06,1,,247.559048
2021-10-07,1,,249.595735
2021-10-08,1,,251.179163
2021-10-09,1,,255.721259
2021-10-10,1,,244.232161
2021-10-11,1,,243.78678
2021-10-12,1,,253.164593
2021-10-13,1,,247.559048
2021-10-14,1,,249.595735
2021-10-15,1,,251.179163
2021-10-16,1,,255.721259
2021-10-17,1,,244.232161
2021-10-18,1,,243.78678
2021-10-19,1,,253.164593
2021-10-20,1,,247.559048
2021-10-21,1,,249.595735
2021-10-22,1,,251.179163
2021-10-23,1,,255.721259
2021-10-24,1,,244.232161
2021-10-25,1,,243.78678
2021-10-26,1,,253.164593
2021-10-27,1,,247.559048
2021-10-28,1,,249.595735
2021-10-29,1,,251.179163
2021-10-30,1,,255.721259
