Date,$FutureFlag,NO,$TS-NO
2022-02-01,1,,288.001833
2022-02-02,1,,320.966278
2022-02-03,1,,282.237389
2022-02-04,1,,267.248525
2022-02-05,1,,228.868102
2022-02-06,1,,243.009568
2022-02-07,1,,248.676277
2022-02-08,1,,288.001833
2022-02-09,1,,320.966278
2022-02-10,1,,282.237389
2022-02-11,1,,267.248525
2022-02-12,1,,228.868102
2022-02-13,1,,243.009568
2022-02-14,1,,248.676277
2022-02-15,1,,288.001833
2022-02-16,1,,320.966278
2022-02-17,1,,282.237389
2022-02-18,1,,267.248525
2022-02-19,1,,228.868102
2022-02-20,1,,243.009568
2022-02-21,1,,248.676277
2022-02-22,1,,288.001833
2022-02-23,1,,320.966278
2022-02-24,1,,282.237389
2022-02-25,1,,267.248525
2022-02-26,1,,228.868102
2022-02-27,1,,243.009568
2022-02-28,1,,248.676277
2022-03-01,1,,288.001833
2022-03-02,1,,320.966278
2022-03-03,1,,282.237389
2022-03-04,1,,267.248525
2022-03-05,1,,228.868102
2022-03-06,1,,243.009568
2022-03-07,1,,248.676277
2022-03-08,1,,288.001833
2022-03-09,1,,320.966278
2022-03-10,1,,282.237389
2022-03-11,1,,267.248525
2022-03-12,1,,228.868102
2022-03-13,1,,243.009568
2022-03-14,1,,248.676277
2022-03-15,1,,288.001833
2022-03-16,1,,320.966278
2022-03-17,1,,282.237389
2022-03-18,1,,267.248525
2022-03-19,1,,228.868102
2022-03-20,1,,243.009568
2022-03-21,1,,248.676277
2022-03-22,1,,288.001833
2022-03-23,1,,320.966278
2022-03-24,1,,282.237389
2022-03-25,1,,267.248525
2022-03-26,1,,228.868102
2022-03-27,1,,243.009568
2022-03-28,1,,248.676277
2022-03-29,1,,288.001833
2022-03-30,1,,320.966278
2022-03-31,1,,282.237389
2022-04-01,1,,267.248525
2022-04-02,1,,228.868102
2022-04-03,1,,243.009568
2022-04-04,1,,248.676277
2022-04-05,1,,288.001833
2022-04-06,1,,320.966278
2022-04-07,1,,282.237389
2022-04-08,1,,267.248525
2022-04-09,1,,228.868102
2022-04-10,1,,243.009568
2022-04-11,1,,248.676277
2022-04-12,1,,288.001833
2022-04-13,1,,320.966278
2022-04-14,1,,282.237389
2022-04-15,1,,267.248525
2022-04-16,1,,228.868102
2022-04-17,1,,243.009568
2022-04-18,1,,248.676277
2022-04-19,1,,288.001833
2022-04-20,1,,320.966278
2022-04-21,1,,282.237389
2022-04-22,1,,267.248525
2022-04-23,1,,228.868102
2022-04-24,1,,243.009568
2022-04-25,1,,248.676277
2022-04-26,1,,288.001833
2022-04-27,1,,320.966278
2022-04-28,1,,282.237389
2022-04-29,1,,267.248525
2022-04-30,1,,228.868102
2022-05-01,1,,243.009568
2022-05-02,1,,248.676277
2022-05-03,1,,288.001833
2022-05-04,1,,320.966278
2022-05-05,1,,282.237389
2022-05-06,1,,267.248525
2022-05-07,1,,228.868102
2022-05-08,1,,243.009568
2022-05-09,1,,248.676277
2022-05-10,1,,288.001833
2022-05-11,1,,320.966278
2022-05-12,1,,282.237389
2022-05-13,1,,267.248525
2022-05-14,1,,228.868102
